sequence_number,time_to_detect_ns

321045,100402176.0
628286,100254976.0
439656,100557312.0
139778,100374016.0
581175,100470528.0
117876,101243904.0
57096,100370944.0
161770,100401152.0
395174,100321536.0
708762,100446976.0
405569,100473600.0
817160,100429056.0
13016,100370688.0
4829,100564992.0
167462,101094912.0
699973,100362496.0
404778,100342016.0
591487,100440832.0
29534,100328192.0
703216,100350208.0
781286,100540672.0
703477,100385280.0
855483,100528128.0
512024,103395584.0
391038,102956544.0
617497,100351744.0
510060,100338688.0
345501,104486912.0
604584,100352768.0
153234,100354048.0
